Source,Target
Sharat Saxena,Varun Sharma
Javed Jaffrey,Manoj Pahwa
Harby Sangha,Jaswinder Bhalla
Vicky Kaushal,Vipin Sharma
Vipin Sharma,Vivan Bhatena
Amit Sadh,Sushant Singh Rajput
Preity Zinta,Saif Ali Khan
Joyraj Bhattacharya,Sayani Gupta
Dheeraj Kumar,Utpal Dutt
Manjot Singh,Ram Kapoor
Dhanush,Prasanna
Lilliput,Varsha Usgaonkar
Aadhi,Ritika Singh
Anjan Srivastav,Bhoomika Chawla
Ashrut Jain,Niharica Raizada
Anandhu,Vineeth Vishwam
Deepak Dobriyal,Gippy Grewal
Arif Zakaria,Saurabh Shukla
Deepak Tijori,Naseeruddin Shah
Lakshmanan,TVV Ramanujam
Amit Pachori,Shailesh Dattar
Minissha Lamba,Rajit Kapoor
Bobby Deol,Danny Denzongpa
Prakash Tuminadu,Rahul Amin
Anubrata Basu,Soumyak Kanti DeBiswas
Amrit Arora,Monika Pawar
Kay Kay Menon,Mandira Bedi
Neil Nitin Mukesh,Tinnu Anand
Sanjay Singh,Urmila Mahanta
Raj Babbar,Shweta Kumar
Alyy Khan,Dimple Kapadia
Lillete Dubey,Siddharth
Karanvir Malhotra,Rajesh Tailang
Adarsh Gourav,Rajkummar Rao
Akshay Kumar,Govind Namdeo
Sajitha Madathil,Sunil Sukhada
Javed Sheikh,Rakesh Srivastava
Arunima Sinha,Sumanto Chattopadhyay
Daisy Irani,Om Puri
Dara Singh,Mohnish Bahl
Boman Irani,Gulshan Grover
Arun Vijay,Neil Nitin Mukesh
Alex Sharp,John Doman
Om Puri,Rajpal Yadav
Kalpana Iyer,Shah Rukh Khan
Abhishek Bachchan,Arjun Rampal
Aru Krishansh Verma,Shah Rukh Khan
Dev Gill,Rahul Singh
Indrajeet Soni,Yashpal Sharma
Madhuri Dixit,Shammi
Mohammed Zeeshan Ayyub,Sheeba Chaddha
Tenzin Dalha,Warina Hussain
Gavie Chahal,Rahul Dev
Beatrice Ordeix,Pitobash
Chaitanya Varad,Denzil Smith
Silk Smitha,Sridevi
Bhaswar Chatterjee,Priyanka Sarkar
Alok Nath,Mithun Chakraborty
Nafisa Ali,Shilpa Shetty
Tillotama Shome,Vivek Ghamande
Neha Joshi,Pushkar Shrotri
Arshad Warsi,Salman Shahid
Meenakshi Dixit,Randeep Hooda
Nutan Sinha,Shashi Bhushan
Harshvardhan Kapoor,Nishikant Kamat
Akshay Kumar,Neeru Bajwa
Aamir Khan,Boman Irani
Ananya Melkote,Priyanka Bose
Anupam Kher,Neena Gupta
Sonam,Vinod Khanna
Kay Kay Menon,Pratima Kazmi
Neelu Kohli,Yudhishtir Urs
Janhvi Kapoor,Pavail Gulati
Priyanshu Painyuli,Shadab Kamal
Eijaz Khan,Priyanshu Painyuli
Amitabha Bhattacharjee,Dipankar Dey
Deepa Sahi,Tinnu Anand
Dalip Tahil,Leela Naidu
Madhavan,Om Puri
Harnek Aulakh,Kanwaljeet Singh
Sonali Kulkarni,Sunny Deol
Mohan Joshi,Vinay Apte
Ashish Verma,Yamini Das
Arjun Mathur,Rajat Kapoor
Bashir Lone,Gurveer Singh
Anumegha Banerjee,Iqbal Sultan
Anuschka Sawhney,Hitesh Dave
Gurpreet Kaur Bhangu,Tejpal Singh
Anju Mahendru,Shernaz Patel
Happy Raikoti,Harinder Bhullar
Anamaya Verma,Arun Shekar
Jishu Sengupta,Priyanka Chopra
Katarina Kajkus,Om Puri
Amita Khopkar,Sharvari Jamenis
Anupam Kher,Ashwin Mushran
Inigo Prabhakaran,Sana Althaf
Aakash Pandey,Rajpal Yadav
Laxmikant Berde,Shatrughan Sinha
Jas Arora,Sapna Bhavnani
Anjali Jathar,Himani Shivpuri
Karuna Pandey,Nawazuddin Siddiqui
Kalki Koechlin,Prashant Prakash
Binnu Dhillon,Jaswinder Bhalla
Soha Ali Khan,Vivek Rana
Kiearra Soni,Vijay Raaz
Ajay Devgn,Kareena Kapoor
Jagathy Sreekumar,Narein
Jennifer Cameron,Lee Tockar
Aditya Narayan,Himani Shivpuri
Akshay Oberoi,Shreya Narayan
Raayo S. Bakhirta,Sonalli Sehgall
Sheeba Chaddha,Shubham Tukaram
Anupam Kher,Bob Christo
Aranya Kaur,Shanoor Mirza
David Oyelowo,James Spader
Nassar,Sushil Pandey
Raj B. Shetty,Shreya Anchan
Annadurai Kannadasan,Jeyan Cherthala
Danish Husain,Kitu Gidwani
Boman Irani,Madhu Sapre
Harleen Kaur,Tejpal Singh
Askar Ameer,Krishna Prabha
Boman Irani,Vijay Raaz
Shavinder Mahal,Yuvika Chaudhry
Indrans,Saiju Kurup
Hal Holbrook,John Hawkes
Angad Bedi,Neil Bhoopalam
Anupam Kher,Bindu
Gayathrie,Samantha Ruth Prabhu
Ashwin Mushran,Veerendra Saxena
Jay Upadhyay,Shahana Goswami
Minissha Lamba,Yashpal Sharma
Prem Chopra,Shakti Kapoor
Kamlesh Sawant,Spruha Joshi
Deepak Subramanya,Nagshree Karkone
Sanath Menon,Shriya Sharma
Priya Bapat,Vandana Gupte
Anuj Choudhry,Om Puri
Nassar Abdulla,Neetu Chandra
Asrani,Katrina Kaif
Atharva,Poorna
Khushboo Upadhyay,Rohit Kokate
Jhansi,Rakul Preet Singh
Aamir Khan,Navneet Nishan
Barun Sobti,Jay Upadhyay
Abhishek Bachchan,Rohit Saraf
Jyoti Joshi,Shweta Prasad
Prithviraj Sukumaran,Zakir Hussain
Benedict Cumberbatch,Eddie Marsan
Harsha H S,Ramesh Bhat
Ali Haji,M.K. Raina
Chetan Hansraj,Salim Baig
Lara Dutta,Rahul Dev
Divya Seth,Soni Razdan
Geeta Bisht,Madhurima Banerjee
Rahul Patel,Seema Biswas
Akshay Oberoi,Ashish Verma
Delhi Ganesh,Prayaga Martin
Aarya Dave,Zoya Hussain
Alka Badola Kaushal,Rajesh Jais
Raghavan,VK Naresh
Abhay Kulkarni,Disha Thakur
Jas Arora,Mallika Sherawat
Aditya Hitkari,Diana Penty
Satyadeep Misra,Shabana Azmi
Rajkummar Rao,Shakti Kapoor
Raima Sen,Tuhin Mitra
Sanjay Mone,Vandana Gupte
Ankush Chaudhari,Sandeep Gaikwad
Anjan Srivastav,Mink Singh
Aamir Khan,Padma Rani
Iftekhar,Neena Gupta
Amruta Subhash,Rajesh More
Kushal Chakraborty,Tanusree Chakraborty
Aamir Khan,Rajendranath Zutshi
Chandan Roy Sanyal,Riteish Deshmukh
Navni Parihar,Salman Khan
Piyush Raina,Rohit Chaudhury
Danny Denzongpa,Nana Patekar
Jyoti Subhash,Sachin Mondkar
Abhay Deol,Raima Sen
Priyanka Bose,Tannishtha Chatterjee
Fahadh Faasil,Vijay Sethupathi
Akash Gopal,Hema Singh
Danny Denzongpa,Dino Morea
Asha Sachdev,Bikram Saluja
Biswapati Sarkar,Shweta Tripathi
K.K. Raina,Leela Naidu
Ankur Vikal,Shweta Tripathi
Monica Bedi,Yograj Singh
Kajal Aggarwal,Neeru Bajwa
Esha Gupta,Ileana D'Cruz
Abhishek Bachchan,Shahana Goswami
Umesh Jagtap,Usha Naik
Aditya Srivastava,Vikrant Massey
Karamjit Anmol,Rajiv Thakur
Priya Anand,Varun Sharma
Havarasu,Showkar Janaki
Avinash Tiwary,Tota Roy Chowdhury
Amitabh Bachchan,Manoj Bajpayee
Anmol Thakeria Dhillon,Kamini Khanna
Nassar,Radhika Apte
Sadashiv Amrapurkar,Tom Alter
Rajbir Kaur,Tejpal Singh
Aamir Khan,Anushka Sharma
Hrithik Roshan,Sharad Kapoor
Sanjay Khapre,Siddarth Jadhav
Jitendra Joshi,Suchitra Pillai
Amala Paul,Naveen Kumar
Sharada,Shashank Shende
Aditya Roy Kapoor,Raj Bhansali
Kunal Sheth,Om Puri
Payal Rajput,Sharry Mann
Jeyan Cherthala,Nassar
Katrina Kaif,Sunil Shetty
Javed Sheikh,Tiffany Mulheron
Farooq Shaikh,Mallika Sarabhai
Dilip Prabhavalkar,Sakhi Gokhale
Arun Bali,Nirmal Rishi
Aditi Balan,Delhi Ganesh
Hema Singh,Shashank Shende
Kay Kay Menon,Vinod Nagpal
Soniya Mehra,Zenobia Shroff
Sohum Shah,Viineet Kumar
Asrani,Konkona Sen Sharma
Gul Panag,Saurabh Shukla
Malhar Thakar,Roopa Divatia
Dolly Ahluwalia,Rahul Kumar
Madhurima Banerjee,Tanuj Virwani
Deepak Qazir,Shashi Sharma
Rehan Khan,Sunil Shetty
Harrison Ford,Josh Holloway
Amitabh Bachchan,Tony Luke
Kaya Blocksage,Mamata Shankar
Riya Sen,Sayali Bhagat
Amitabha Bhattacharjee,Rajesh Sharma
Catherine Tresa,Vijay Deverakonda
Hira Ashar,Manjot Singh
Rajpal Yadav,Shiney Ahuja
Anupam Kher,Renuka Shahane
Arunoday Singh,Dipannita Sharma
Nina Kulkarni,Shreyas Talpade
Amrish Puri,Subhash Ghai
Benny Vadakkan,Seethabaala
Alencier Ley Lopez,Sudhi Koppa
Kailash Waghmare,Vaibhav Raj Gupta
Mumtaz Sorcar,Shwetha
Akshay Oberoi,D. Santosh
Mahie Gill,Sindbad Phgura
Ajay Devgn,Yogesh Sonam
Jitendra Joshi,Radhika Apte
Indrans,Jayasurya
Jagdeep,Mahendra Sandhu
Dheeraj Kumar,Vikram
Lisa Ray,Usha Jadhav
Om Puri,Raj Babbar
Gulshan Grover,Himani Shivpuri
Aditya Roy Kapoor,Yashaswini Dayama
Sabeeka Imam,Yogendra Tikku
Alencier Ley Lopez,Anoop Menon
Raj Babbar,Salman Khan
Adil Hussain,Vinod Sharawat
Dharmendra,Zeenat Aman
Shakti Kapoor,Tarun Wadhwa
Sasi Kalinga,Valsala Menon
Anita Kanwar,Kulbhushan Kharbanda
Arvind Swamy,Suriya
Shakeel Khan,Sharad Kapoor
Kader Khan,Ravi Baswani
Sooraj Pancholi,Waluscha D'Souza
Gaurav Paswala,Niharica Raizada
Indrasish Roy,Parambrata Chattopadhyay
Embeth Davidtz,Richard Dreyfuss
Darshan Jariwala,Govind Namdeo
Raghavendra Kadkol,Usha Nadkarni
Anang Desai,Anil Kapoor
Harby Sangha,Tania
Bomma Sreedhar,Raja Goutham
Ankit Yadav,Shafin Patel
Parikshat Sahni,Satish Shah
Jimmy Sharma,Yograj Singh
Murli Sharma,Tamannaah Bhatia
Esha Deol,Om Puri
Aditi Sharma,Karamjit Anmol
Ganesh Venkatraman,Siddarth
Mamta Kulkarni,Mohnish Bahl
Arjun Rampal,Kareena Kapoor
Bindu,Satish Kaushik
Naseeruddin Shah,Omkar Das Manikpuri
Rajkummar Rao,Shraddha Kapoor
Shreyas Talpade,Tripti Dimri
Shabana Azmi,Shashikala
Tripti Dimri,Veera Kapur Ee
Eklavyey Kashyap,Jhataleka
Radhika Apte,Veera Saxena
Jaffer Idukki,Vincy Aloshious
Moin Khan,Nil Mani
Sonali Kulkarni,Vaidehi Parshurami
Milind Gunaji,Mohan Joshi
Alka Badola Kaushal,Tapsee Pannu
Abhishek Bachchan,Amitabh Bachchan
Farooq Shaikh,Neena Gupta
Dalip Tahil,Shubhangi Damle
Nina Kulkarni,Parineeti Chopra
Rajpal Yadav,Tanushree Dutta
Aamir Khan,Pramod Moutho
Kushalini Pulapa,Roopa Koduvayur
John Abraham,Raj Babbar
Ankit Gera,Charu Asopa
Amrit Pal,Simple Kapadia
Jimmy Shergill,Stuti Dwivedi
Pari Telang,S. Joshi
Devika Daftardar,Kamal Desai
Asrani,Javed Jaffrey
Arun Bali,Manmeet Singh
Regina Cassandra,Tridha Choudhury
Bajrangbali Singh,Pushtii Shakti
Aadhya Anand,Rahul Bose
Girish Oak,Vandana Gupte
Anupam Bhattacharya,Emraan Hashmi
Madan Puri,Utpal Dutt
Abhishek Kale,Kristy Banerjee
Arjan Bajwa,Kangana Ranaut
Bhumi Pednekar,Shubha Khote
Rehana Sultan,Sujata Sehgal
Jayaprakash Radhakrishnan,John Vijay
Mahavir Shah,Shatrughan Sinha
Arvind Goswami,Pitobash
Anupam Kher,Rasika Dugal
Aruna Irani,Mohan Joshi
Katrina Kaif,Puneet Issar
Deepti Naval,Divya Dutta
Chinmay Patwardhan,Sanjay Jadhav
Mahesh Manjrekar,Yash Shashank Dholye
Smita Tambe,Vikas Kumar
Masood Akhtar,Nishant Malkani
Anjali,Parvathy
Amrit Maghera,Pavleen Gujral
Hetvi Bhanushali,Leela Samson
Dillon Mitra,Manish Dayal
Charmy Kaur,Subbaraju
Mammootty,Mathew Thomas
Alam Khan,Bhuvan Arora
Gulshan Grover,Vinod Mehra
Chali Pala,Gayathri Arun
Prashant Narayanan,Sudhir Pandey
Brijendra Kala,Sanjay Dutt
Aneesh Menon,Hareesh Perumanna
Purav Bhandare,Sabyasachi Chakraborty
Basil Joseph,India Jarvis
Abir Chatterjee,Deb Ranajan Nag
Murli Sharma,Swara Bhaskar
Kaizaad Kotwal,Shivani Tanksale
Anindya Banerjee,Usashi Chakraborty
Harish Patel,Twinkle Khanna
Piyush Mishra,Vijay Varma
Salman Shahid,Vijay Raaz
Ali Fazal,Vidya Balan
Nikita Dutta,Suresh Oberoi
Gulfam Khan,Vipin Sharma
Sanya Malhotra,Shruti Sharma
Aparshakti Khurana,Sanya Malhotra
Amol Palekar,Utpal Dutt
Daniel Bacon,Jonathan Holmes
Anjan Srivastav,Yuri Suri
Manjot Singh,Varun Khettry
Hussain Shaikh,Sanjay Mishra
Arjun Mathur,Rahul Bose
Neena Gupta,Satyadeep Misra
Deepa Sahi,Paresh Rawal
Reema Lagoo,Soni Razdan
David Thewlis,Peter Mullan
Kanwaljeet Singh,Mithila Palkar
Gautham Vasudev Menon,Remya Nambeesan
Shatrughan Sinha,Sunny Deol
Mohnish Bahl,Suresh Oberoi
Hassan Zaidi,Vikas Kumar
Ranvir Shorey,Shabana Azmi
Manju Singh,Yuri Suri
Prashant,Purab Kohli
Atul Kulkarni,Seema Biswas
Navneet Nishan,Zakir Hussain
Arunima Ghosh,Chiranjit
Juhi Chawla,Rajpal Yadav
Manish Chaudhary,Vishesh Tiwari
Anushka Sharma,Denis Dorokhov
Aabhas Yadav,Shabana Azmi
Nawazuddin Siddiqui,Sheeba Chaddha
Delzad Hiwale,Dibyendu Bhattacharya
Mark Rylance,Michael Keaton
Chandan Roy Sanyal,Mala Mukherjee
Dhumal,Leela Chitnis
Gulshan Devaiah,Jimit Trivedi
Anjali Patil,Niteesh Wadhwa
Rup Magon,Shabana Azmi
Darshan Jariwala,Prateik
Kanchan Mullick,Paran Banerjee
Jaffer Idukki,Sudhi Koppa
Rasika Dugal,Ravi Kale
Jackie Shroff,Sharat Saxena
Lucas Till,Richard Dreyfuss
Mithila Palkar,Nicole Faria
Angad Bedi,Raj Bhansali
Shakti Kapoor,Sonali Bendre
Amrita Chattopadhyay,Mandakini Goswami
Hardik Thakkar,M.K. Raina
Chaitanya Varad,Sindhu Sreenivasa Murthy
Divya Dutta,Kalki Koechlin
Akshay Kumar,Vivek Shaq
Anjali,Suriya
Aakash Dabhade,Srishti Jain
Keith Stevenson,Rajit Kapoor
David Kross,Nicolas Bro
Rupa Bhimani,Swapnil
Pramod Shetty,Shreeram
Damian Alexander D'Souza,Nyla Masood
Anubrata Basu,Maya Tideman
Anjana Mumtaz,Shashi Kapoor
Anil Kapoor,Zarina Wahab
Danny Denzongpa,Gautam Bhimani
Arun Aseng,Gurinder Makna
Jonathan Readwin,Rachel Saanchita Gupta
Mala Mukherjee,Veer Rajwant Singh
Divya Dutta,Saahil Prem
Sampath Raj,Shraddha Srinath
Mallika Sherawat,Parvez Khan
Priyadarshi Pullikonda,RJ Balaji
Achyut Potdar,Varsha Usgaonkar
Parvathy,Prayaga Martin
Anuradha Patel,Mahesh Manjrekar
Abhishek Duhan,Seema Pahwa
Adil Hussain,Anuj Choudhry
Joju George,Sasi Kalinga
Adah Sharma,Indraneil Sengupta
Amala Paul,Sanjith Hegde
Asheesh Kapur,Vipin Sharma
Santosh Juvekar,Tushar Dalvi
Kainaat Arora,Vivek Oberoi
Adarsh Gourav,Akash Khurana
Anushka Sharma,Chandan Roy Sanyal
Krishna Hebbale,Roger Narayan
Reema Lagoo,Sana Saeed
Javed Sheikh,Swati Chitnis
Jaideep Ahlawat,Tota Roy Chowdhury
Raj Babbar,Smita Bansal
Prakash Raj,Prayaga Martin
Prabal Panjabi,Ritwik Bhaumik
Nandita Das,Sanjay Dutt
Raghuvir Yadav,Sitaram Panchal
Nassar,Prakash Raj
Angad Bedi,Yashaswini Dayama
Rajendranath Zutshi,Vipin Sharma
Isha Talwar,Sayani Gupta
Javed Jaffrey,Sharman Joshi
Pavan Malhotra,Sanjay Kapoor
Siddhant Karnick,Viraf Patel
Charmy Kaur,Hema Malini
Arbaaz Khan,Dalip Tahil
Mahesh Babu,RJ Balaji
Karamjit Anmol,Manpreet Saggu
Master Bobby,Nagma
Sunny Deol,Urvashi Rautela
Asrani,Shah Rukh Khan
Tanay Chheda,Vipin Sharma
Prem Chopra,Sheeba Chaddha
Javed Sheikh,Piyush Mishra
Sachin Khedekar,Sanjay Mone
Clive Standen,Nina Wadia
Kareena Kapoor,Vijay Raaz
Barbora Mudrochova,Evelyn Sharma
Madhusudhanan,Saravanan
Anant Nag,Hemanth
Rahul Bhat,Tejaswini Kolhapure
Samir Soni,Sammir Dattani
Sandeep Gaikwad,Yatin Karyekar
Neha Khan,Nikhil Ratnaparkhi
Anish Kuruvilla,Aswin Kakamanu
Charmy Kaur,Sonal Chauhan
Akhilendra Mishra,Madhavan
Ahmed Khan,Ayub Khan
Anjana Mumtaz,Irina Kushnareva
Dolly Ahluwalia,Vinod Nagpal
Murad Ali,Sohrab Ardeshir
Amrita Rao,Nawazuddin Siddiqui
Neelu Kohli,Sharmila Tagore
Dolly Bindra,Katrina Kaif
Ashwin Kaushal,Usha Jadhav
Karthik Rathnam,Sonia Giri
Sadia Khateeb,Saghar Sehrai
Nayan Shukla,Rytasha Rathore
Anita Devgan,Harish Verma
Amrita Rao,Ravi Jhankal
Gerson Da Cunha,Sooraj Balaji
Antony Varghese,Vineeth Vishwam
Rajkummar Rao,Sushant Singh Rajput
Akshay Kumar,Om Puri
Priyanka Chopra,Usha Uthup
Ashwath Bhatt,Tannishtha Chatterjee
Faraaz Servaia,Javed Sheikh
Karisma Kapoor,Neelam
Abir Chatterjee,Chiranjit
Rohan Joshi,Tenzing Dalha
Arif Zakaria,Sonali Sachdev
Prasad Oak,Suhas Palshikar
Nivetha Pethuraj,Pooja Hegde
Brandon Jay McLaren,Philip Granger
Shraddha Srinath,Sruthi Hariharan
Kaizaad Kotwal,Rehana Sultan
Madhumathi Padmanathan,Manikandan
Konkona Sen Sharma,Nassar Abdulla
Kunal Sharma,Tisca Chopra
Ambujakshi,Subbu Talabi
Nagesh Kukunoor,Prateeksha Lonkar
Emraan Hashmi,Naved Aslam
Amit Sial,Arya Banerjee
Dulquer Salmaan,Ritu Varma
Kay Kay Menon,Rakhi Sawant
Gaurav Chanana,Gulshan Grover
Saikumar,Seema G. Nair
Sardar Sohi,Satwant Kaur
Priya Bapat,Umesh Kamat
Radhika Apte,Sanjay Singh
Tapsee Pannu,Vijay Varma
Rani Mukerji,Satyadeep Misra
Kenneth Desai,Randeep Hooda
Mushtaq Khan,Pooja Bhatt
Anupama Parameswaran,Vijayaraghavan
Dermot Crowley,Orla Brady
Dolly Singh,Varun Thakur
Neha Dhupia,Sudeepa Singh
Kuljinder Sidhu,Rupinder Roopi
Rishina Kandhari,Vijay Raaz
Arvind Swamy,Bobby Simha
Singri Gowda,Thammegowda S.
Om Puri,Pat Cusick
Dina Pathak,Smita Jaykar
Arbaaz Khan,Vishwajeet Pradhan
Mohan Agashe,Mukesh Tiwari
Renuka Shahane,Vandana Gupte
Mahinder Nath,Nutan Sinha
Anud Singh Dhaka,Mihir Ahuja
Arun Bali,Deven Verma
Preity Zinta,Zohra Sehgal
Iftekhar,Sujit Kumar
Archana Puran Singh,Tusshar Kapoor
Gracy Soudi,Jaffer Idukki
Shreyas Talpade,Yashpal Sharma
Brijendra Kala,Jogi
Amitabh Bachchan,Sakshi Shivanand
Arbaaz Khan,Varun Sharma
J.D. Chakravarthi,Tanikella Bharani
Gopalan,Renji Panicker
Saumya Tandon,Tarun Arora
Amrit Pal,Lalita Pawar
David Abraham,Deven Verma
Kranti Redkar,Manava Naik
Sulakshana Pandit,Vinod Khanna
Huma Qureshi,Swara Bhaskar
Mukesh Tiwari,Mukul Dev
Ali Zafar,Raj Bhansali
Sanjay Mone,Umesh Kamat
Jackie Chan,Michael McElhatton
Asrani,Rohini Hattangadi
Jimmy Shergill,Kangana Ranaut
Kishori Shahane,Supriya Pilgaonkar
Lena,V.K. Sriraman
Ashutosh Rana,Sreejith Ravi
Neha Chauhan,Priya
Juhi Chawla,Rishi Kapoor
Balkaran Wadding,Tarsem Paul
Girija Oak,Jitendra Joshi
Amrish Puri,Naseeruddin Shah
Aranya Kaur,Sabina Malik
Shivalati Bokil,Swandand Raikar
Tahir Raj Bhasin,Vikram Kapadia
Dimple Kapadia,Prem Nath
Priyanka Sarkar,Swagata Basu
Alice Patten,Om Puri
Mona Ambegaonkar,Swara Bhasker
Anil Dhawan,Sanjay Dutt
Sana Shaikh,Victor Banerjee
Arunima Ghosh,Kharaj Mukherjee
Paras Priyadarshan,Shirin Sewani
Vinod Khanna,Vinod Mehra
Asrani,Shakti Kapoor
Om Puri,Prem Chopra
Ronit Roy,Vineet Kumar Singh
Bagavathi Perumal,Samantha Ruth Prabhu
Lal,Ramya Nambeeshan
Ajit,Sunder
Govinda,Kader Khan
Ketan Karande,Nandu Madhav
Alan Tudyk,Tyler Labine
Bharati Achrekar,Gunjan Bakshi
Paresh Rawal,Rasika Joshi
Hetal Puniwala,Makarand Shukla
Jagpal Singh Chahal,Karan Vinayak
Sonali Bendre,Twinkle Khanna
Aditya Roy Kapur,Akshay Kumar
Ila Arun,Nishant Dahiya
Bharti Singh,Sunny Gill
Michael Adamthwaite,Ólafur Darri Ólafsson
Ali Zafar,Yashaswini Dayama
Maya Sarao,Namit Das
Ayub Khan,Saif Ali Khan
Charlie Murphy,Liu Tao
Neha Awati,Vishwas Kamble
Jagdeep,Mithun Chakraborty
Jonathan Holmes,Rafe Spall
Anjana Sukhani,Rana Daggubati
Prasad Oak,Subodh Bhave
Boman Irani,Raghuvir Yadav
Baba Brahmbhatt,Ishita Haria
Bharti Singh,Minto
Akshat Verma,Boman Irani
Dominic Power,Mohanlal
Ashok Kumar,Pran
Adesh Bhardwaj,Ravi Kale
Akshay Sachdev,Raja Hudda
Andrea Jeremiah,Anisha Victor
Mona Ambegaonkar,Veena Nair
Pavan Malhotra,Zakir Hussain
Prateeksha Lonkar,Rimi Sen
Raj Jhinger,Rajiv Thakur
Danish Husain,Manish Chauhan
Rinku Rajguru,Shubhankar Tawde
Anoop Menon,Siddique
Karamjit Anmol,Prakash Gadhu
Kay Kay Menon,Kunal Sharma
Manoj Bajpayee,Soori
Charmy Kaur,Sonu Sood
Monika Panwar,Sparsh Shrivastava
Kamini Khanna,Natasha Sinha
Aamir Khan,Ashutosh Gowariker
Pasupathy,Pratap Pothen
Kashyap Kapoor,Raghav Raj Kakker
Anarkali Marikar,Samyuktha Menon
Chirag Malhotra,Riya Kothari
Prasanna,Vaibhav Reddy
Michael Gambon,Simon Callow
Pearle Maaney,Rajkummar Rao
Abhay Deol,Anurag Arora
Om Puri,Sanjay Dutt
Saif Ali Khan,Sonali Kulkarni
Seema Biswas,Urmila Matondkar
Sajal Ali,Sridevi
Akshay Kumar,Ashutosh Rana
Manu Rishi Chadha,Niki Walia
Prakash Belawadi,Siddharth
Alka Badola Kaushal,Seema Kaushal
Girija Oak,Siddarth Jadhav
Kunal Kapoor,Nana Patekar
Neil Nitin Mukesh,Sucheta Khanna
Anjan Srivastav,Mita Vashisht
Joy Mathew,Sapthagiri
Chandan Anand,Maleeka Ghai
Jyoti Subhash,Urmila Mahanta
Anindya Banerjee,Soumitra Chatterjee
Mathew Thomas,Nimisha Sajayan
Madan Puri,Shefali
Arya Babbar,Chetan Pandit
Aman Dhaliwal,Mehreen Raheel
Abhishek Saha,Imran Khan
Chandan Roy Sanyal,Joyraj Bhattacharya
Ashutosh Kaushik,Randeep Hooda
Nauheed Cyrusi,Preity Zinta
Khushdeed Maan,Shruti Sodhi
Arya Babbar,Mithun Chakraborty
Harby Sangha,Hardeep Gill
Anupam Kher,Vijay Raaz
Suraj Pawar,Vikas Pandurang Patil
Anjana Mumtaz,Sudhir
Bijukuttan,Sudhi Koppa
Adarsh Gourav,Manoj Bajpayee
Akshay Kumar,Parmeet Sethi
Mandira Bedi,Vaishnavi Dhanraj
Denzil Smith,Vaishwath Shankar
Celina Jaitly,Tusshar Kapoor
Asha Sarath,Roshan Mathew
Sapna Pabbi,Sushant Singh Rajput
Ayaz Khan,Pavail Gulati
Hrishitaa Bhatt,Umesh Mehra
Krishna Prabha,Sudhi Koppa
Jaffer Idukki,Suraj Venjaramoodu
Neil Nitin Mukesh,Vivaan Shah
Farida Jalal,Sonali Bendre
Sasi Kalinga,Sijoy Varghese
Chinmaya Surve,Deepak Damle
Indrajit Sinha,Lolita Chatterjee
Krutika Bolaki,Ranbir Kapoor
Abir Chatterjee,Kharaj Mukherjee
Om Puri,Shakti Kapoor
Ash Chandler,Rajit Kapoor
Purab Kohli,Ravi Gossain
Rambha,Reema Lagoo
Arjun Kapoor,Athiya Shetty
Merlvin Mukhim,Tashneem Lyngdoh
Musthafa,Sreenath Bhasi
